course_id,short_name,long_name,account_id,term_id,status,start_date,end_date,course_format,blueprint_course_id
A00215,STAT215,Statistics,A002,201408,active,,,on_campus,A00210
B00300,ACCT300,Cost Accounting,B002,201408,active,,,online,
B00310,ACCT310,Managerial Accounting,B002,201408,active,,,blended,
A00462,PHY462,Nuclear Physics,A003,201408,active,,,on_campus,
B00220,MKTG220,Marketing,B003,201408,active,,,on_campus,
B00301,MKTG300,Market Research,B003,201408,active,,,on_campus,
B00211,ECN211,Macro Economics,B020,201408,active,,,online,
B00212,ECN212,Micro Economics,B020,201408,active,,,online,
A00101,BIO101,Intro to Biology,A008,201408,active,,,blended,
B00235,CIS235,Intro to Information Systems,B080,201408,active,,,blended,
