,https://,,,,,21.0,2018-11-14T16:51:34Z,2018-11-14T16:51:34Z,,,0.0,,,,,,,34a9c0c8-eeda-411f-949f-4269d5b10162,false,"{""user""=>53, ""context""=>nil, ""asset""=>nil, ""real_user""=>nil, ""account""=>nil}",
66d251e2bd38793ee4593f5db029e9ee,https://nickjenson.instructure.com/login/canvas,,,login/canvas,new,,2018-10-12T19:37:22Z,2018-10-12T19:37:22Z,,,0.139145,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,false,,get,216.51.95.36,77473c95-db13-418a-91ac-214db65431d9,false,"{""user""=>53, ""context""=>nil, ""asset""=>nil, ""real_user""=>nil, ""account""=>1}",
66d251e2bd38793ee4593f5db029e9ee,https://nickjenson.instructure.com/?login_success=1,User,,users,user_dashboard,,2018-10-12T19:37:21Z,2018-10-12T19:37:21Z,,,0.153882,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,false,,get,216.51.95.36,16153275-e855-4c28-80cc-2a269180f670,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>nil, ""account""=>1}",
66d251e2bd38793ee4593f5db029e9ee,https://nickjenson.instructure.com/profile/settings,UserProfile,,profile,settings,,2018-10-12T19:36:41Z,2018-10-12T19:36:41Z,,,0.448949,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,false,,get,216.51.95.36,57720474-c14a-44b5-b146-583cfa71b928,false,"{""user""=>53, ""context""=>4, ""asset""=>nil, ""real_user""=>nil, ""account""=>1}",
66d251e2bd38793ee4593f5db029e9ee,https://nickjenson.instructure.com/?login_success=1,User,,users,user_dashboard,,2018-10-12T19:36:23Z,2018-10-12T19:36:23Z,,,0.249815,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36",,false,,get,216.51.95.36,270202de-be81-4f5d-b1df-9d676445c8dd,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>nil, ""account""=>1}",
6da08669cdbe05c349530e1837475592,https://nickjenson.instructure.com/,User,,users,user_dashboard,,2018-05-24T19:13:35Z,2018-05-24T19:13:35Z,,,0.163225,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36",,false,,get,216.51.95.36,2f25a28d-8f1e-4542-b19c-93b12798582e,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
6da08669cdbe05c349530e1837475592,https://nickjenson.instructure.com/accounts/1/external_tools/202?launch_type=global_navigation,Account,,external_tools,show,,2018-05-24T19:13:24Z,2018-05-24T19:13:24Z,,,0.187505,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36",2164,false,,get,216.51.95.36,e23d48fc-d056-44c2-b0c8-4ba8f4da1964,false,"{""user""=>53, ""context""=>1, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
6da08669cdbe05c349530e1837475592,https://nickjenson.instructure.com/,User,,users,user_dashboard,,2018-05-24T19:13:21Z,2018-05-24T19:13:21Z,,,0.293377,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36",,false,,get,216.51.95.36,4bc50e12-c9e1-4a11-907e-5031f332058c,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
edf276672a567eb6083002b87c279f1d,https://njenson.instructure.com/accounts/1/external_tools/151,Account,,external_tools,show,27.0,2018-04-13T22:05:45Z,2018-04-13T22:05:45Z,,,0.166676,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36",2039,false,,get,216.51.95.36,ee508457-9307-4638-b7a4-9087c7f7c2dc,false,"{""user""=>53, ""context""=>1, ""asset""=>nil, ""real_user""=>66170000004597037, ""account""=>1}",
edf276672a567eb6083002b87c279f1d,https://njenson.instructure.com/accounts/1,Account,,accounts,show,,2018-04-13T22:05:43Z,2018-04-13T22:05:43Z,,,0.27751,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36",,false,,get,216.51.95.36,29b6e18b-aa2c-49a8-90b9-b8c7e2fc3120,false,"{""user""=>53, ""context""=>1, ""asset""=>nil, ""real_user""=>66170000004597037, ""account""=>1}",
edf276672a567eb6083002b87c279f1d,https://njenson.instructure.com/,User,,users,user_dashboard,,2018-04-13T22:05:37Z,2018-04-13T22:05:37Z,,,0.276192,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36",,false,,get,216.51.95.36,a3ba7848-dccf-459c-8db0-23daee9e1014,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>66170000004597037, ""account""=>1}",
35d60787832aae41f2df82d11627895c,https://nickjenson.instructure.com/conversations,,,conversations,index,,2018-02-09T15:30:43Z,2018-02-09T15:30:43Z,,,0.189002,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36",,false,,get,216.51.95.36,8feebe8e-5f36-40fd-aaac-ffab9883517c,false,"{""user""=>53, ""context""=>nil, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
35d60787832aae41f2df82d11627895c,https://nickjenson.instructure.com/,User,,users,user_dashboard,,2018-02-09T15:30:39Z,2018-02-09T15:30:39Z,,,0.314622,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36",,false,,get,216.51.95.36,d4985355-a65f-43ee-8a72-b7b77a38042c,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
eda43fff50cff905da104eea0deb0145,https://nickjenson.instructure.com/profile/settings,UserProfile,,profile,settings,,2017-11-29T22:57:59Z,2017-11-29T22:57:59Z,,,0.38731,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,false,,get,216.51.95.36,2036f6d7-9b97-4155-a4ca-edb33a990ec3,false,"{""user""=>53, ""context""=>4, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
eda43fff50cff905da104eea0deb0145,https://nickjenson.instructure.com/,User,,users,user_dashboard,,2017-11-29T22:57:52Z,2017-11-29T22:57:52Z,,,0.304868,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,false,,get,216.51.95.36,8eba31eb-4c82-4ed6-921e-c04662dc9631,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
31c32455ff8632a33bb970d03cd967e5,https://nickjenson.instructure.com/,User,,users,user_dashboard,,2017-11-28T15:52:34Z,2017-11-28T15:52:34Z,,,0.247763,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",,false,,get,216.51.95.36,4c9bb247-4c19-4015-8d2c-99d9c3269980,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
0f17e6b5ec216df309b484ce0ec09fbb,https://nickjenson.instructure.com/?login_success=1,User,,users,user_dashboard,,2017-10-05T15:21:36Z,2017-10-05T15:21:36Z,,,0.450942,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",,false,,get,216.51.95.36,0511ca34-7f3d-4070-a566-655470d74301,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>nil, ""account""=>1}",
0f17e6b5ec216df309b484ce0ec09fbb,https://nickjenson.instructure.com/login/otp,,,login/otp,new,,2017-10-05T15:20:59Z,2017-10-05T15:20:59Z,,,0.16119,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",,false,,get,216.51.95.36,c9caddfb-2d72-45ab-9823-03c7d2f57a06,false,"{""user""=>53, ""context""=>nil, ""asset""=>nil, ""real_user""=>nil, ""account""=>1}",
9790e3ac594a69f501484996b256ecf2,https://nickjenson.instructure.com/login/otp,,,login/otp,new,,2017-10-05T15:20:21Z,2017-10-05T15:20:21Z,,,0.142318,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.100 Safari/537.36",,false,,get,216.51.95.36,042c6f1d-82c7-40f5-98fd-61cd41a395cc,false,"{""user""=>53, ""context""=>nil, ""asset""=>nil, ""real_user""=>nil, ""account""=>1}",
7a7d846ef8b142d07f7236e34c33476b,https://nickjenson.instructure.com/profile/settings,UserProfile,,profile,settings,,2017-07-06T19:18:21Z,2017-07-06T19:18:21Z,,,0.544186,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",,false,,get,216.51.95.36,aadd75d0-92bf-4277-96ac-f64c3ea777f6,false,"{""user""=>53, ""context""=>4, ""asset""=>nil, ""real_user""=>nil, ""account""=>1}",
7a7d846ef8b142d07f7236e34c33476b,https://nickjenson.instructure.com/?login_success=1,User,,users,user_dashboard,,2017-07-06T19:15:42Z,2017-07-06T19:15:42Z,,,0.331457,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",,false,,get,216.51.95.36,7904de1b-198c-45ed-98cd-60976e110547,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>nil, ""account""=>1}",
7a7d846ef8b142d07f7236e34c33476b,https://nickjenson.instructure.com/login/otp,,,login/otp,new,,2017-07-06T19:14:05Z,2017-07-06T19:14:05Z,,,0.171184,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",,false,,get,216.51.95.36,08e4efe0-6882-4a5a-9bc9-e1b5e20f7c10,false,"{""user""=>53, ""context""=>nil, ""asset""=>nil, ""real_user""=>nil, ""account""=>1}",
861aed2f20d00f49e0d07889a83c5fd5,https://nickjenson.instructure.com/?login_success=1,User,,users,user_dashboard,,2017-07-06T17:56:35Z,2017-07-06T17:56:35Z,,,0.297959,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",,false,,get,216.51.95.36,5498aac2-778d-44ac-82e8-3cb0004ec4c9,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>nil, ""account""=>1}",
861aed2f20d00f49e0d07889a83c5fd5,https://nickjenson.instructure.com/login/otp,,,login/otp,new,,2017-07-06T17:55:30Z,2017-07-06T17:55:30Z,,,0.188429,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",,false,,get,216.51.95.36,8dd3bd5e-0373-46b9-b436-3fd4ea56da83,false,"{""user""=>53, ""context""=>nil, ""asset""=>nil, ""real_user""=>nil, ""account""=>1}",
7aa6baf30b2e33cf78ac415e9a106f57,https://nickjenson.instructure.com/login/otp,,,login/otp,new,,2017-07-06T17:54:45Z,2017-07-06T17:54:45Z,,,0.165233,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",,false,,get,216.51.95.36,b26ce928-74cc-404b-8ee2-9c314482b6e2,false,"{""user""=>53, ""context""=>nil, ""asset""=>nil, ""real_user""=>nil, ""account""=>1}",
5bb0d34ae7fe7566d0d84a2d07786512,https://nickjenson.instructure.com/,User,,users,user_dashboard,,2017-07-06T17:53:54Z,2017-07-06T17:53:54Z,,,0.291444,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",,false,,get,216.51.95.36,7fdd2756-69d2-4978-8ed6-8f05049d0905,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>nil, ""account""=>1}",
960a96f1ded9e97eb470ce69995f2c46,https://nickjenson.instructure.com/accounts/1/external_tools/151,Account,,external_tools,show,,2017-06-27T17:17:10Z,2017-06-27T17:17:10Z,,,0.261398,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",2039,false,,get,216.51.95.36,33c79c37-4fc3-489b-8ee3-e4d810727019,false,"{""user""=>53, ""context""=>1, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
960a96f1ded9e97eb470ce69995f2c46,https://nickjenson.instructure.com/accounts/self,Account,,accounts,show,,2017-06-27T17:17:00Z,2017-06-27T17:17:00Z,,,0.319206,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",,false,,get,216.51.95.36,dde15a8a-4377-43d6-81b4-8f63bfcce025,false,"{""user""=>53, ""context""=>1, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
960a96f1ded9e97eb470ce69995f2c46,https://nickjenson.instructure.com/,User,,users,user_dashboard,,2017-06-27T17:16:37Z,2017-06-27T17:16:37Z,,,0.216789,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",,false,,get,216.51.95.36,87f809f9-fe1e-47b9-a49e-c6ab417753a7,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
960a96f1ded9e97eb470ce69995f2c46,https://nickjenson.instructure.com/accounts/1/external_tools/151,Account,,external_tools,show,13.0,2017-06-27T16:36:55Z,2017-06-27T16:36:55Z,,,0.239824,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",2039,false,,get,216.51.95.36,435b0cd9-c93c-4a7c-a2ae-5aa188538940,false,"{""user""=>53, ""context""=>1, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
960a96f1ded9e97eb470ce69995f2c46,https://nickjenson.instructure.com/accounts/1,Account,,accounts,show,,2017-06-27T16:36:50Z,2017-06-27T16:36:50Z,,,0.401508,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",,false,,get,216.51.95.36,84508e65-7c13-4237-8207-b166de1de0d2,false,"{""user""=>53, ""context""=>1, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
960a96f1ded9e97eb470ce69995f2c46,https://nickjenson.instructure.com/,User,,users,user_dashboard,,2017-06-27T16:36:44Z,2017-06-27T16:36:44Z,,,0.274161,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",,false,,get,216.51.95.36,7ab43c27-d760-4b19-b4de-14c798abf9ce,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
960a96f1ded9e97eb470ce69995f2c46,https://nickjenson.instructure.com/accounts/1/external_tools/151,Account,,external_tools,show,,2017-06-27T15:03:36Z,2017-06-27T15:03:36Z,,,0.282572,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",2039,false,,get,216.51.95.36,088ecbc3-3c92-44b0-8421-f759660fc716,false,"{""user""=>53, ""context""=>1, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
960a96f1ded9e97eb470ce69995f2c46,https://nickjenson.instructure.com/accounts/1,Account,,accounts,show,,2017-06-27T15:03:32Z,2017-06-27T15:03:32Z,,,0.290998,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",,false,,get,216.51.95.36,d5d7048f-2151-41bc-b2fc-c0692d4c7c37,false,"{""user""=>53, ""context""=>1, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
960a96f1ded9e97eb470ce69995f2c46,https://nickjenson.instructure.com/,User,,users,user_dashboard,,2017-06-27T15:03:25Z,2017-06-27T15:03:25Z,,,0.232667,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",,false,,get,216.51.95.36,ba54bb2b-11e1-48a8-a8e8-71c3a4f3178e,false,"{""user""=>53, ""context""=>53, ""asset""=>nil, ""real_user""=>66170000004597197, ""account""=>1}",
